"","lo_x","lo_y","lo_z","x","y","z","Moll_x","Moll_y"
"233",316036.293323136,264313.954575167,204907.429447319,0.986152984133648,-0.165812940112004,0.00289150059895112,0.149977013895151,0.00321165191048964
"234",312411.068588986,262663.728312942,203907.49199346,0.995100243664282,-0.0944797616037307,0.0291389722980975,0.0852027035900942,0.0323680869217444
"239",309388.805193713,261248.786047329,202689.758377266,0.998297750356647,-0.0193750770341799,0.0550109809290628,0.0174549239731698,0.0611208702254773
"243",306458.030923067,260176.878223653,201401.839129803,0.9963921659002,0.0524750376913678,0.0667009906373014,-0.0473063276156932,0.0741201206880957
"245",301722.29023903,258562.789175369,199809.841948682,0.982110997280395,0.16803598407892,0.0849817455430121,-0.152223194927745,0.0944612731985114
"248",297277.78459871,257942.52746211,198597.206398309,0.964142395050519,0.251668652473812,0.0842159808365616,-0.229374709333714,0.0936088359226124
"247",292185.681378508,257150.835724412,196542.825044828,0.927090454391708,0.368899894166962,0.0664541756354044,-0.340488788753649,0.0738456022484546
"204",333853.372345002,278077.728549244,205673.305090301,0.917975900526469,-0.367292097257396,-0.149722280722949,0.340273628022093,-0.166686388875355
"187",373770.350588287,293519.895785125,211022.499101515,0.421412002842269,-0.765110408795688,-0.486844930355614,0.883752558426301,-0.555373612215162
"188",378064.057596433,294113.152868861,211467.782362271,0.330305510905065,-0.783123607328063,-0.526892479649526,0.953763064349296,-0.604145103992435
"189",381232.641359525,294343.95233242,212133.1232709,0.227903039527406,-0.787001694835784,-0.57331364618311,1.02553040976674,-0.661810154767569
"193",383954.643936114,293938.956828452,212958.669627535,0.110734529710064,-0.770778614179604,-0.627405922711334,1.1007446974293,-0.730851026591513
"196",387994.287786937,294028.859805158,214379.959660688,-0.0228264849107466,-0.730131503970773,-0.682925280316959,1.18638043686691,-0.80428959188508
"201",392776.326843468,295262.651748376,216039.14919857,-0.17435055932268,-0.656209842190398,-0.734159741116551,1.2946790956622,-0.875028740963905
"202",337713.950166906,279882.844767026,206233.589803767,0.888894335297191,-0.420587261061173,-0.181585287150766,0.393794173637914,-0.20238346604199
"200",340712.494819545,282119.441833498,206070.080325213,0.855100846805383,-0.471884288439672,-0.214773741682967,0.447424152302452,-0.239706417864785
"199",344787.132433441,284571.949365861,205303.874945732,0.809186049091638,-0.53238148552273,-0.248571703594912,0.513701616159071,-0.277892570595225
"197",349334.086567897,286807.669516884,206455.35735886,0.759273670649767,-0.585348380913565,-0.284377857822823,0.576096543884356,-0.318579701722419
"195",354443.909024245,288879.184101793,207770.750861031,0.70739550979585,-0.629256186807929,-0.321913410849275,0.63278571344336,-0.361533222862007
"192",358817.191073412,290346.603988107,209438.29150213,0.645870873615514,-0.669881653453522,-0.366209482375195,0.69204226583807,-0.41269064083259
"190",363127.657899956,291347.452879643,210132.932269029,0.580729402110467,-0.711430524465984,-0.395752410456935,0.756935319994384,-0.447135988492152
"191",368290.744094333,292348.615695954,210895.349307659,0.501251868603891,-0.747080833803273,-0.436596830021605,0.826300027008394,-0.495254957465562
"205",329219.093281775,276014.0080237,204511.050851966,0.945810288700523,-0.302643813700245,-0.11768440770639,0.277620278579128,-0.130901672028559
"206",323360.345344749,273480.215557086,204650.819202999,0.967977612773007,-0.235458195252489,-0.0870561856430211,0.214324006336223,-0.0967706815253936
"208",318928.36147221,271065.481494033,203708.056897053,0.984006736117409,-0.167566193668682,-0.0604343777576409,0.151686585304186,-0.0671509583726658
"209",315264.883195689,269039.007531787,202782.933393123,0.994990385471834,-0.0953282105820455,-0.0301108798582348,0.0859711241155304,-0.0334478972080215
"210",311758.880991646,267271.235522755,201603.88646778,0.999586728099996,-0.0277849427511395,-0.00737359903042496,0.0250187178343519,-0.00819005511186701
"216",308821.722258413,265604.560516443,200511.919718771,0.998360193560366,0.0530744420213012,0.021448252102134,-0.0478104728839789,0.0238241452394572
"221",305830.927208814,263906.542517597,199788.614681876,0.989449688099259,0.137898344026668,0.0444225329645044,-0.124596943804817,0.0493510465870413
"223",302242.926009067,262194.505206941,198782.191631256,0.972287110026007,0.229804478230406,0.0429846189063856,-0.208839962247781,0.0477529834875737
"228",295728.5684656,258911.010502888,197533.595519581,0.936701576955219,0.346478512222582,0.0504261469639702,-0.318718188586532,0.0560240239565374
