Flywire ID,vPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Type Code,Pathway type to MB Left,Pathway type to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Synapse sum to LVINs,Synapse sum to LVINs left,Mirror Twin,Mirror Twin Ints,Notes,
720575940636712774,vPN,visual_projection,Lo,Right,acetylcholine,0.88,,LC40,LC40,None,Indirect,0,0,0,0,,9,,,,
720575940641948661,vPN,visual_projection,Lo,Right,acetylcholine,0.94,,LC40,LC40,None,Indirect,0,0,0,0,,5,,,,
720575940642843848,vPN,visual_projection,Lo,Right,acetylcholine,0.9,,LC40,LC40,None,Indirect,0,0,0,0,,11,,,,
720575940614687931,vPN,visual_projection,Lo,Left,acetylcholine,0.91,,LC41,LC41,None,Indirect,0,0,0,0,,109,,,,
720575940629607696,vPN,visual_projection,Lo,Left,acetylcholine,0.9,,LC41,LC41,None,Indirect,0,0,0,0,,29,,,,
720575940641240205,vPN,visual_projection,Lo,Right,acetylcholine,0.93,,LC41,LC41,None,Indirect,0,0,0,0,,127,,,,
720575940626850247,vPN,visual_projection,Lo,Right,acetylcholine,0.92,,LC41,LC41,None,Indirect,0,0,0,0,,23,,,,
720575940634331036,vPN,visual_projection,Lo,Right,acetylcholine,0.85,,LC43,LC43,None,Indirect,0,0,0,0,,18,,,,
720575940626248250,LVIN,central,,Left,gaba,0.83,,PLP131,ga-PLP131,Direct,None,5,1,0,0,,,720575940630520059,720575940630520059,,
720575940618445497,LVIN,central,,Left,acetylcholine,0.92,,PLP177,a-PLP177,Direct,None,45,4,0,0,,,720575940610167502,720575940610167502,,
720575940620745069,LVIN,central,,Left,glutamate,0.69,,"PLP185, PLP186","gl-PLP185, PLP186",Direct,None,8,1,0,0,,,720575940628951166,720575940628951166,,
720575940623894825,vPN,visual_projection,Lo,Right,acetylcholine,0.92,,LO.1299,Lo-new,None,Indirect,0,0,0,0,,15,,,,
