,Checked (everything but nblast clusters and indirect pathways),Flywire ID_updated,v630 ID,vPN or LVIN,FlyWire Super Class,Source of Visual Input,Cell Body Position,NT prediction,NT prediction score,NBLAST cluster,Type,Type Code,Pathway type to MB Left,Pathway type to MB Right,Synapses to KCg-d_Left,# of KCg-d Partners_Left,Synapses to KCg-d_Right,# of KCg-d Partners_Right,Synapse sum to LVINs,Synapse sum to LVINs left,Mirror Twin Ints,Is Mirror Twin a Direct KCgd Input (v630)?,Notes,RF_size
85,,720575940621291102,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,44
84,,720575940631277131,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
22,,720575940625334794,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,30
23,,720575940625056266,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,61
24,,720575940605010609,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,85
25,,720575940605444809,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,46
27,,720575940617978789,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,92
28,,720575940621870079,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,54
29,,720575940626408454,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,172
21,,720575940613022175,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,127
30,,720575940630545483,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,36
32,,720575940623778960,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,45
33,,720575940631684321,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,71
34,,720575940631258338,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,67
35,,720575940628940032,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,94
36,,720575940617176321,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,104
37,,720575940621280517,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,23
38,,720575940617708885,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,60
39,,720575940621141347,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
31,,720575940635313271,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,71
40,,720575940625991043,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,116
20,,720575940618371520,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,112
18,,720575940624720259,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
0,,720575940617727793,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,91
1,,720575940615274914,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,247
2,,720575940631159692,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,52
3,,720575940615709597,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,302
4,,720575940633176749,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,85
5,,720575940623232392,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,109
6,,720575940624920871,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,15
7,,720575940629017404,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,82
19,,720575940619731334,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,114
8,,720575940637106032,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,261
10,,720575940614209576,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,104
11,,720575940614914107,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,110
12,,720575940612743330,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,100
13,,720575940612260019,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,19
14,,720575940616593714,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,93
15,,720575940612194611,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,99
16,,720575940636631386,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,140
17,,720575940637671795,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,65
9,,720575940639563728,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,267
171,,720575940617502528,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,89
41,,720575940646774148,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,115
43,,720575940624008586,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,118
66,,720575940626860817,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,130
67,,720575940629105487,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,82
68,,720575940622560094,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,123
70,,720575940625574844,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,191
71,,720575940624395292,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,85
72,,720575940638239797,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,44
73,,720575940607167580,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,79
65,,720575940622256893,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,96
74,,720575940613491826,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,160
76,,720575940639051078,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,81
77,,720575940625665405,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,69
78,,720575940615605649,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,90
79,,720575940615081366,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,97
80,,720575940627836354,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,130
81,,720575940622519748,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,74
82,,720575940630851036,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,128
83,,720575940623945194,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,106
75,,720575940622028029,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,106
42,,720575940620346758,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,181
64,,720575940610468522,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,33
62,,720575940625934973,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,119
44,,720575940621084138,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,119
45,,720575940617266722,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,110
46,,720575940630857276,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,635
47,,720575940612580977,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,120
48,,720575940640351872,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,108
49,,720575940613260959,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,105
51,,720575940618807105,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,113
63,,720575940625943165,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
52,,720575940618094494,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,159
54,,720575940624320514,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,74
55,,720575940619700229,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,93
56,,720575940628858954,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,63
57,,720575940628523113,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,130
58,,720575940621805749,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,79
59,,720575940628375803,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
60,,720575940608797048,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
61,,720575940633668020,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,153
53,,720575940653172726,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,166
347,,720575940629316352,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,54
172,,720575940604903298,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,85
174,,720575940636229624,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,213
285,,720575940614775238,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,101
286,,720575940642898376,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,82
287,,720575940624802250,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,61
288,,720575940612096462,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,101
289,,720575940639105488,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,49
290,,720575940613005791,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,77
291,,720575940632052194,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,138
292,,720575940611711461,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,83
293,,720575940637073897,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,62
294,,720575940650869238,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,109
295,,720575940650033654,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,175
296,,720575940614521342,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
297,,720575940626375172,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,126
298,,720575940626260490,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,46
299,,720575940623925774,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,106
300,,720575940627792401,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,60
301,,720575940625695269,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,104
284,,720575940628324802,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,66
283,,720575940623393205,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,85
282,,720575940623368629,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,85
281,,720575940612841907,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,52
263,,720575940612227441,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
264,,720575940619452795,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,72
265,,720575940627685765,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,100
266,,720575940619403655,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,77
267,,720575940640817549,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,44
268,,720575940640792973,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,147
269,,720575940615061906,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,61
270,,720575940613693842,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,167
302,,720575940628087339,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,80
271,,720575940623827348,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,147
273,,720575940611121557,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,82
274,,720575940625809816,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,84
275,,720575940611580313,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,97
276,,720575940615692703,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,48
277,,720575940620648869,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,85
278,,720575940618723749,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,105
279,,720575940619395494,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,49
280,,720575940621722032,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,119
272,,720575940623860116,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,47
303,,720575940630225452,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,48
304,,720575940617945649,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,51
305,,720575940618175025,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,109
328,,720575940635460270,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,60
329,,720575940604601022,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,147
330,,720575940619395777,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,43
331,,720575940607861443,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,108
332,,720575940608221891,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,28
333,,720575940642407112,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,66
334,,720575940629594839,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,70
335,,720575940629283543,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,51
327,,720575940604510892,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,62
336,,720575940642202331,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,114
338,,720575940632085218,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,47
339,,720575940614349535,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,45
340,,720575940627309297,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,72
341,,720575940623622899,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,40
342,,720575940650033910,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,102
343,,720575940628447996,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,81
344,,720575940623262461,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,125
345,,720575940614890238,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,31
337,,720575940614316767,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,122
262,,720575940620149101,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,34
326,,720575940613145258,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,61
324,,720575940615332502,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,77
306,,720575940628849207,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,84
307,,720575940626170426,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,92
308,,720575940619600449,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,95
309,,720575940618854981,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,121
310,,720575940637876814,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,66
311,,720575940626498130,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,16
312,,720575940638835288,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,88
313,,720575940640277080,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
325,,720575940633256599,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,84
314,,720575940621042270,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,52
316,,720575940619764333,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,52
317,,720575940609548920,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,79
318,,720575940645700228,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,26
319,,720575940620132999,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,106
320,,720575940619551366,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,91
321,,720575940626236041,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,132
322,,720575940622312072,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,97
323,,720575940627423881,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
315,,720575940630692456,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,54
261,,720575940610171234,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,34
260,,720575940632961376,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,49
259,,720575940634517856,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,90
197,,720575940639621208,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,21
198,,720575940621189214,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,51
199,,720575940621623393,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,78
200,,720575940627546217,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,57
201,,720575940619919476,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,114
202,,720575940610506872,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,49
203,,720575940649009273,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,71
204,,720575940628537470,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,77
196,,720575940617781332,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,94
205,,720575940640612480,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,125
207,,720575940627685509,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
208,,720575940615856267,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,47
209,,720575940626382991,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,34
210,,720575940626129040,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,21
211,,720575940623630484,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,55
212,,720575940617879710,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,72
213,,720575940619419813,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,62
214,,720575940621279401,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,60
206,,720575940625154181,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,49
215,,720575940619395243,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,78
195,,720575940630831185,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,100
193,,720575940631298119,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,75
175,,720575940631207954,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,24
176,,720575940618878996,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,26
177,,720575940644044823,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,50
178,,720575940622680088,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,84
179,,720575940645134359,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,66
180,,720575940621639704,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,57
182,,720575940625129511,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,97
194,,720575940637270086,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,26
183,,720575940630929450,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,123
185,,720575940632649775,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,98
186,,720575940617289782,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,118
187,,720575940630691895,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,330
188,,720575940629291063,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,33
189,,720575940630970425,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,80
190,,720575940626309178,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,45
191,,720575940617568320,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,55
192,,720575940637589574,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,73
184,,720575940631863341,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
173,,720575940606345138,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,23
216,,720575940635541684,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,31
218,,720575940625588412,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,56
241,,720575940618035483,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,27
242,,720575940604281120,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,132
243,,720575940612874536,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,123
244,,720575940622319913,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,75
245,,720575940614447400,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,63
246,,720575940647182644,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,75
247,,720575940632027449,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,78
248,,720575940615012667,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,45
240,,720575940626743580,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,20
249,,720575940638458173,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,63
251,,720575940617216320,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,80
252,,720575940626522440,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,160
253,,720575940626276682,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,34
254,,720575940638900558,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,59
255,,720575940628939087,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,22
256,,720575940618617173,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,37
257,,720575940619116885,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,93
258,,720575940637270362,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,85
250,,720575940616298816,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,125
217,,720575940615127227,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,129
239,,720575940626563347,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,54
237,,720575940625031426,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,80
219,,720575940638425277,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,62
220,,720575940614840518,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,124
221,,720575940618723531,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,80
222,,720575940618674379,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,89
223,,720575940610310350,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,62
224,,720575940618002644,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,114
225,,720575940630905047,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,60
226,,720575940616011993,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
238,,720575940615053580,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,129
227,,720575940611080410,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,113
229,,720575940614349023,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,29
230,,720575940632592609,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,70
231,,720575940612358371,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,55
232,,720575940619059438,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,54
233,,720575940628513015,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,98
234,,720575940629135607,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,79
235,,720575940622745853,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,133
236,,720575940622024957,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,61
228,,720575940636983518,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,115
697,,720575940617914693,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,72
423,,720575940636165232,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,56
699,,720575940623591753,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,44
1158,,720575940612960426,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,22
1159,,720575940611010730,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,63
1160,,720575940635234478,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,113
1161,,720575940604907710,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,79
1162,,720575940615934150,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,75
1163,,720575940625133770,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,50
1164,,720575940621480157,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,108
1165,,720575940612976863,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,66
1166,,720575940616392934,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,40
1167,,720575940616114406,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,124
1168,,720575940616286438,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,30
1169,,720575940623757543,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,73
1170,,720575940623143155,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,19
1171,,720575940651192566,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,137
1172,,720575940629025015,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,31
1173,,720575940623028477,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,68
1174,,720575940626510090,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,70
1157,,720575940612518055,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,106
1156,,720575940653666465,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,127
1155,,720575940629778587,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,100
1154,,720575940611518617,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,50
1136,,720575940637044799,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,102
1137,,720575940619497537,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,53
1138,,720575940637536326,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,83
1139,,720575940632653895,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,89
1140,,720575940624511049,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,41
1141,,720575940617498708,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,77
1142,,720575940620644437,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,48
1143,,720575940625477721,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,106
1175,,720575940623560973,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,18
1144,,720575940628484201,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,62
1146,,720575940627591273,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,79
1147,,720575940635119727,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,73
1148,,720575940634964079,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,81
1149,,720575940640338035,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,70
1150,,720575940606087298,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,48
1151,,720575940606423170,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,116
1152,,720575940623143060,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,78
1153,,720575940613722262,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,115
1145,,720575940613714026,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,82
1176,,720575940630147343,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,117
1177,,720575940645540119,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,39
1178,,720575940617228573,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,55
1201,,720575940629254518,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,78
1202,,720575940647383428,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,45
1203,,720575940619637126,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,76
1204,,720575940625764745,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,63
1205,,720575940622619018,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,53
1206,,720575940617294219,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,94
1207,,720575940626542985,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,61
1208,,720575940622029203,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,64
1200,,720575940619882868,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,50
1209,,720575940610527637,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,34
1211,,720575940632777124,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,125
1212,,720575940604268972,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,104
1213,,720575940632269229,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,61
1214,,720575940622455223,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,95
1215,,720575940623757752,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,56
1216,,720575940616090041,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,73
1217,,720575940626477498,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,217
1218,,720575940614664635,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,60
1210,,720575940614082966,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,96
1135,,720575940615999547,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,132
1199,,720575940635251051,,,,Lo: all VPNs,,,,,,,,,,,,,,,,,,86
