,Presynaptic neuron type,Presynaptic neuron,Postsynaptic neuron,Predicted synapse type,Variance in distances from centroid
315,VPN,720575940618366169,720575940622022583,claw,294.0809031641621
316,VPN,720575940628804424,720575940628080902,claw,834.1427298942817
317,VPN,720575940619017387,720575940616902213,claw,139.1732362969697
318,VPN,720575940619017387,720575940627251216,claw,170.03876673632288
319,VPN,720575940637511525,720575940606691932,claw,76.38649356792868
320,VPN,720575940637511525,720575940617150878,claw,165.508333915212
321,VPN,720575940637511525,720575940621527337,claw,84.40737191199862
322,VPN,720575940637511525,720575940621650116,claw,265.9040028659194
323,VPN,720575940637511525,720575940626316974,claw,366.9464980394727
324,VPN,720575940637511525,720575940636555182,claw,119.28344755164083
325,VPN,720575940631057468,720575940628025799,claw,492.06555604906913
326,VPN,720575940633285935,720575940613955039,claw,336.5828738330679
327,VPN,720575940633285935,720575940621936362,en_passant,1460.759436726365
328,VPN,720575940633285935,720575940636562916,claw,150.05245209925124
329,VPN,720575940614440931,720575940620347329,en_passant,4148.652945469449
330,VPN,720575940614440931,720575940621650116,claw,331.04769782882363
331,VPN,720575940614440931,720575940626460420,en_passant,2128.7758939703117
332,VPN,720575940614440931,720575940628025799,claw,46.25302366113788
333,VPN,720575940614440931,720575940643195159,claw,1263.0616570213538
334,VPN,720575940628913404,720575940614281214,en_passant,3574.8124348522874
335,VPN,720575940628913404,720575940621936362,claw,138.74820060601118
336,VPN,720575940628913404,720575940629676363,claw,103.10925686331325
337,VPN,720575940630575042,720575940602829536,claw,122.27518448890055
338,VPN,720575940630575042,720575940620236270,claw,169.78508353876026
339,VPN,720575940630575042,720575940623231428,en_passant,2114.1718949964684
340,VPN,720575940625733453,720575940619906987,claw,476.1379513204588
341,VPN,720575940638192496,720575940607983369,claw,353.77032025976945
342,VPN,720575940638192496,720575940613863903,claw,92.87421071955583
343,VPN,720575940638192496,720575940621174742,claw,154.2129089908538
344,VPN,720575940638192496,720575940623207108,claw,344.33227822389904
345,VPN,720575940638192496,720575940623365045,en_passant,1492.8556372882967
346,VPN,720575940638192496,720575940627800446,claw,193.91857390661357
347,VPN,720575940638192496,720575940628134266,en_passant,3377.968402198322
348,VPN,720575940638192496,720575940630834503,en_passant,2219.336268930813
349,VPN,720575940638192496,720575940631490371,claw,182.86976702257346
350,VPN,720575940638192496,720575940637898429,claw,147.50971045645633
351,VPN,720575940638192496,720575940650726390,claw,232.09434007217743
352,VPN,720575940616992454,720575940619475376,claw,389.6336262394513
353,VPN,720575940616992454,720575940637619534,claw,135.61687391136536
354,VPN,720575940624611405,720575940618903931,claw,993.9868761257667
355,VPN,720575940624611405,720575940619906987,claw,969.5962212333056
356,VPN,720575940624611405,720575940654675873,claw,288.52149476267283
357,VPN,720575940624611405,720575940608126386,claw,395.89188339810886
358,VPN,720575940624611405,720575940617201501,en_passant,3899.1452892480575
359,VPN,720575940624611405,720575940617266833,claw,695.4130666489509
360,VPN,720575940624611405,720575940620200709,claw,572.7070912961617
361,VPN,720575940624611405,720575940622776013,en_passant,1452.0599425830094
362,VPN,720575940624611405,720575940625632893,claw,373.9742480197782
363,VPN,720575940624611405,720575940637619534,claw,1179.224520041221
364,VPN,720575940620233966,720575940626465286,claw,148.43491140897777
365,VPN,720575940631340332,720575940602829536,en_passant,6511.138837245673
366,VPN,720575940631340332,720575940614281214,en_passant,5964.328013956173
367,VPN,720575940621806574,720575940619155182,claw,569.1861720117357
368,VPN,720575940636036532,720575940647973497,en_passant,1726.0827506781347
369,LVIN,720575940631783372,720575940622884499,claw,421.6833128231794
370,LVIN,720575940631783372,720575940628405882,claw,165.56789455801476
371,LVIN,720575940631783372,720575940643195159,claw,174.3837399314249
372,LVIN,720575940632219361,720575940615543995,claw,208.21888130210286
373,LVIN,720575940632219361,720575940616442369,claw,309.5894248210813
374,LVIN,720575940632219361,720575940647973497,claw,416.61722549153376
375,LVIN,720575940632219361,720575940650706166,claw,378.26608052639597
376,LVIN,720575940618422941,720575940615543995,claw,404.48527299357505
377,LVIN,720575940618422941,720575940623430365,claw,514.2280629008442
378,LVIN,720575940624951847,720575940608399115,en_passant,2773.009321844741
379,LVIN,720575940624951847,720575940608413193,en_passant,1461.9183580765764
380,LVIN,720575940624951847,720575940614281214,en_passant,2105.1985426337305
381,LVIN,720575940624951847,720575940615332674,en_passant,5871.167299633656
382,LVIN,720575940624951847,720575940616305181,claw,525.1548861544908
383,LVIN,720575940624951847,720575940619229037,en_passant,2484.9816742268154
384,LVIN,720575940624951847,720575940619825237,claw,1361.4494546011217
385,LVIN,720575940624951847,720575940604249790,claw,188.3127246247317
386,LVIN,720575940624951847,720575940605829297,en_passant,7590.804288763677
387,LVIN,720575940624951847,720575940616702274,en_passant,5658.995922430967
388,LVIN,720575940624951847,720575940617931547,en_passant,1831.2929787970752
389,LVIN,720575940624951847,720575940619511206,en_passant,3073.37527395145
390,LVIN,720575940624951847,720575940620200709,claw,101.03710601533895
391,LVIN,720575940624951847,720575940620347329,en_passant,6157.037598568674
392,LVIN,720575940624951847,720575940621527337,claw,1329.2154771489966
